r_exploitation 0.8, r_training 0.005, ROC 0.975448
r_exploitation 0.8, r_training 0.007, ROC 0.965521
r_exploitation 0.8, r_training 0.01, ROC 0.975902
r_exploitation 0.8, r_training 0.03, ROC 0.991257
r_exploitation 0.8, r_training 0.05, ROC 0.993101
r_exploitation 0.8, r_training 0.07, ROC 0.998147
r_exploitation 0.8, r_training 0.1, ROC 0.998798
r_exploitation 0.8, r_training 0.3, ROC 0.999470
r_exploitation 0.8, r_training 0.4, ROC 0.999603
r_exploitation 0.8, r_training 0.5, ROC 0.999623
r_exploitation 0.8, r_training 0.7, ROC 0.999742
r_exploitation 0.8, r_training 0.7, ROC 0.999742
r_exploitation 0.8, r_training 0.005, ROC 0.975448
r_exploitation 0.8, r_training 0.007, ROC 0.965521
r_exploitation 0.8, r_training 0.01, ROC 0.975902
r_exploitation 0.8, r_training 0.03, ROC 0.991257
r_exploitation 0.8, r_training 0.05, ROC 0.993101
r_exploitation 0.8, r_training 0.07, ROC 0.998147
r_exploitation 0.8, r_training 0.1, ROC 0.998798
r_exploitation 0.8, r_training 0.3, ROC 0.999470
r_exploitation 0.8, r_training 0.4, ROC 0.999603
r_exploitation 0.8, r_training 0.5, ROC 0.999623
r_exploitation 0.8, r_training 0.7, ROC 0.999742
r_exploitation 0.8, r_training 0.7, ROC 0.999742
